addr_full,brand,city,country,extras,lat,lon,name,opening_hours,phone,postcode,ref,state,website
Korinthou 100,Lidl Hellas,Aigio,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.23888,22.09485,Lidl Aigio,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,251 00,808,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Aigio/Korinthou-100/
4 Km Alexandroupolis-Feron,Lidl Hellas,Alexandroupoli,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.85411,25.92574,Lidl Alexandroupoli/Maistros,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,681 00,81,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Alexandroupoli/4-Km-Alexandroupolis-Feron/
1. Km E.O. Nafpaktou-Antiriou,Lidl Hellas,Nafpaktos,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.38683,21.8124,Lidl Nafpaktos,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,303 00,810,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Nafpaktos/1-Km-EO-Nafpaktou-Antiriou/
Iroon Politechneiou (Nea Eisodos),Lidl Hellas,Kalamata,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.03479,22.10171,Lidl Kalamata/Nea Isodos,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,241 00,812,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Kalamata/Iroon-Politechneiou-(Nea-Eisodos)/
2. Km Agriniou - Thermou,Lidl Hellas,Agrinio,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.61323,21.43419,Lidl Agrinio/Thermou,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,301 00,816,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Agrinio/2-Km-Agriniou---Thermou/
Notara 9,Lidl Hellas,Patra,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.26326,21.74395,Lidl Patra/Notara,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,264 42,817,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Patra/Notara-9/
2 Km Kyparissias-Pyrgou,Lidl Hellas,Kyparissia,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.26501,21.6899,Lidl Kyparissia,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,245 00,819,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Kyparissia/2-Km-Kyparissias-Pyrgou/
1 Km Koufalia-Chalkidona,Lidl Hellas,Koufalia,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",40.76943,22.57573,Lidl Koufalia,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,571 00,82,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Koufalia/1-Km-Koufalia-Chalkidona/
3 Km E.O. Prevezas-Ioanninon,Lidl Hellas,Preveza,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",38.99389,20.7392,Lidl Preveza,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,481 00,820,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Preveza/3-Km-EO-Prevezas-Ioanninon/
1 Km Korinthou-Examillion,Lidl Hellas,Korinthos,Greece,"{'brand': 'Lidl Hellas', 'fascia': 'Lidl Hellas', 'category': 'Retail', 'edit_date': '20250518', 'lat_lon_source': 'Third Party'}",37.92592,22.93169,Lidl Korinthos,"{'opening_hours': {'Mon': '07:45-21:00', 'Tue': '07:45-21:00', 'Wed': '07:45-21:00', 'Thu': '07:45-21:00', 'Fri': '07:45-21:00', 'Sat': '07:45-21:00'}}",,201 00,821,,https://www.lidl-hellas.gr/s/el-GR/anazitisi-katastimaton/Korinthos/1-Km-Korinthou-Examillion/
