addr_full,brand,city,country,extras,lat,long,name,opening_hours,phone,postcode,ref,state,website
5-5-2 Minami Aoyama,James Perse,Minato-ku,Japan,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.66380225,139.71331772,Aoyama,{'Opening Hours': {'Mon 12:00pm - 8:00pm Tue 12:00pm - 8:00pm Wed 12:00pm - 8:00pm Thu 12:00pm - 8:00pm Fri 12:00pm - 8:00pm Sat: 12:00pm - 8:00pm Sun: 12:00pm - 8:00pm'}},03 6418 0928,107-0062,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
Tamagawa Takashimaya Shopping Center South Bldg 1F 3-17-1,James Perse,Tamagawa Setagaya-ku,Japan,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.61336640,139.62656420,Futakotamagawa,{'Opening Hours': {'Mon 10:00am - 8:00pm Tue 10:00am - 8:00pm Wed 10:00am - 8:00pm Thu 10:00am - 8:00pm Fri 10:00am - 8:00pm Sat: 10:00am - 8:00pm Sun: 10:00am - 8:00pm'}},03 3700 1590,158-0094,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
Isetan Dept. Shinjuku Main Bldg 2F 3-14-1,James Perse,Shinjuku-ku,JAPAN,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.69199520,139.70448360,Isetan Shinjuku,{'Opening Hours': {'Mon 10:00am - 8:00pm Tue 10:00am - 8:00pm Wed 10:00am - 8:00pm Thu 10:00am - 8:00pm Fri 10:00am - 8:00pm Sat: 10:00am - 8:00pm Sun: 10:00am - 8:00pm'}},03 3352 1111,160-0022,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
Isetan Dept. Shinjuku Main Bldg. 6F 3-14-1,James Perse,Shinjuku-ku,JAPAN,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.69199520,139.70448360,Isetan Shinjuku MEN'S,{'Opening Hours': {'Mon 10:00am - 8:00pm Tue 10:00am - 8:00pm Wed 10:00am - 8:00pm Thu 10:00am - 8:00pm Fri 10:00am - 8:00pm Sat: 10:00am - 8:00pm Sun: 10:00am - 8:00pm'}},03-3353-5031,160-0022,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
Maple Farm 2-16-10 Jiyugaoka,James Perse,Meguro-ku,JAPAN,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.60841359,139.66629868,Jiyugaoka,{'Opening Hours': {'Mon CLOSED Tue CLOSED Wed CLOSED Thu CLOSED Fri CLOSED Sat: CLOSED Sun: CLOSED'}},03 3724 7991,152-0035,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
3-1-1 Marunouchi,James Perse,Chiyoda-ku,JAPAN,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",35.67676013,139.76110890,Marunouchi,{'Opening Hours': {'Mon 11:00am - 8:00pm Tue 11:00am - 8:00pm Wed 11:00am - 8:00pm Thu 11:00am - 8:00pm Fri 11:00am - 8:00pm Sat: 11:00am - 8:00pm Sun: 11:00am - 8:00pm'}},03 3213 1501,100-0005,,Tokyo,https://stockist.co/api/v1/u8774/locations/all
Umeda Hankyu Dept. Main Bldg 3F 8-7 Kakuda-cho,James Perse,Kita-ku,JAPAN,"{'brand': 'James Perse', 'fascia': 'James Perse', 'category': 'Fashion', 'edit_date': '20250304', 'lat_lon_source': 'thirdparty'}",34.70281860,135.49853230,Umeda Hankyu,{'Opening Hours': {'Mon 10:00am - 8:00pm Tue 10:00am - 8:00pm Wed 10:00am - 8:00pm Thu 10:00am - 8:00pm Fri 10:00am - 8:00pm Sat: 10:00am - 8:00pm Sun: 10:00pm - 8:00pm'}},06 6313 0306,530-8350,,Osaka,https://stockist.co/api/v1/u8774/locations/all
