address,city,country_code,brand,extras,ref,name,phone,latitude,longitude,opening_hours,postcode,website
"76360, CC Le Parvis des Senteurs Pissy-Poville",Pissy-Poville,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",354,Cultura Barentin,02.35.12.59.00,49.530543,0.975044,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",76360,https://www.cultura.com/les-magasins.html
"77090, Rue du Général de Gaulle COLLEGIEN",COLLEGIEN,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",232,Cultura Bay 2-Collégien,01.64.11.58.40,48.8377,2.66141,"{'opening_hours': {'Mon': '09:30-20:00', 'Tue': '09:30-20:00', 'Wed': '09:30-20:00', 'Thu': '09:30-20:00', 'Fri': '09:30-20:00', 'Sat': '09:30-20:00', 'Sun': 'Closed'}}",77090,https://www.cultura.com/les-magasins.html
"64990, 2-4 avenue du Portou ST PIERRE D'IRUBE",ST PIERRE D'IRUBE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",223,Cultura Bayonne,05.59.01.50.70,43.4809,-1.44485,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': 'Closed'}}",64990,https://www.cultura.com/les-magasins.html
"60000, 2 avenue Descartes BEAUVAIS",BEAUVAIS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",314,Cultura Beauvais,03.65.65.62.00,49.4085,2.11541,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",60000,https://www.cultura.com/les-magasins.html
"33130, Rue Denis Papin BEGLES",BEGLES,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",308,Cultura Bègles,05.56.30.08.30,44.7918,-0.529287,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",33130,https://www.cultura.com/les-magasins.html
"94320, Rue du Luxembourg THIAIS",THIAIS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",304,Cultura Belle Epine,01.57.02.14.00,48.7566,2.37199,"{'opening_hours': {'Mon': '10:00-20:30', 'Tue': '10:00-20:30', 'Wed': '10:00-20:30', 'Thu': '10:00-20:30', 'Fri': '10:00-20:30', 'Sat': '10:00-20:30', 'Sun': 'Closed'}}",94320,https://www.cultura.com/les-magasins.html
"25000, ZAC de Châteaufarine - CC Géant Casino BESANÇON",BESANÇON,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",169,Cultura Besançon,03.81.51.91.10,47.2179,5.95088,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",25000,https://www.cultura.com/les-magasins.html
"34500, Polygone Béziers BEZIERS",BEZIERS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",166,Cultura Béziers,04.99.43.29.90,43.3361,3.22508,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",34500,https://www.cultura.com/les-magasins.html
"31700, CC du Grand Noble Blagnac",Blagnac,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",356,Cultura Blagnac,05.62.74.25.58,43.64841,1.368068,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",31700,https://www.cultura.com/les-magasins.html
"33000, 90 avenue des 40 journaux BORDEAUX",BORDEAUX,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",289,Cultura Bordeaux Lac,05.33.89.68.10,44.8786,-0.568895,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",33000,https://www.cultura.com/les-magasins.html
"01000, Le Carrefour de l'Europe BOURG EN BRESSE",BOURG EN BRESSE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",28,Cultura Bourg En Bresse,04.74.14.16.20,46.2084,5.23617,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",01000,https://www.cultura.com/les-magasins.html
"38300, ZAC La MALADIERE BOURGOIN JALLIEU",BOURGOIN JALLIEU,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",31,Cultura Bourgoin Jallieu,04.37.03.28.70,45.5912,5.25208,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",38300,https://www.cultura.com/les-magasins.html
"29200, 29 rue de gouesnou BREST",BREST,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",208,Cultura Brest,02.29.61.18.20,48.408,-4.46577,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",29200,https://www.cultura.com/les-magasins.html
"19100, 9 avenue de Paris BRIVE LA GAILLARDE",BRIVE LA GAILLARDE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",211,Cultura Brive Centre,05.55.92.17.53,45.1619,1.53233,"{'opening_hours': {'Mon': '09:30-19:30', 'Tue': '09:30-19:30', 'Wed': '09:30-19:30', 'Thu': '09:30-19:30', 'Fri': '09:30-19:30', 'Sat': '09:30-19:30', 'Sun': 'Closed'}}",19100,https://www.cultura.com/les-magasins.html
"19100, ZAC du Mazaud BRIVE LA GAILLARDE",BRIVE LA GAILLARDE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",342,Cultura Brive La Gaillarde,05.55.74.96.00,45.143,1.47284,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",19100,https://www.cultura.com/les-magasins.html
"14120, Rue Joseph Jacquard MONDEVILLE",MONDEVILLE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",103,Cultura Caen Mondeville,02.31.78.55.40,49.1614,-0.299866,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",14120,https://www.cultura.com/les-magasins.html
"11000, 165 A rue Juliette Costeplane CARCASSONNE",CARCASSONNE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",37,Cultura Carcassonne,04.68.26.72.80,43.2038,2.31132,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",11000,https://www.cultura.com/les-magasins.html
"77127, ZAC du carré LIEUSAINT",LIEUSAINT,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",40,Cultura Carré Senart,01.64.88.26.40,48.6185,2.54524,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",77127,https://www.cultura.com/les-magasins.html
"37170, 3 rue Alexandra David Néel CHAMBRAY LES TOURS",CHAMBRAY LES TOURS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",43,Cultura Chambray Les Tours,02.47.48.42.50,47.3436,0.704503,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",37170,https://www.cultura.com/les-magasins.html
"69410, 19 Av du General De Gaulle CHAMPAGNE MONT D'OR",CHAMPAGNE MONT D'OR,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",13,Cultura Champagne Au Mont d'Or,04.87.65.06.40,45.8041,4.7819,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",69410,https://www.cultura.com/les-magasins.html
"16430, 163 Allée des commerces CHAMPNIERS",CHAMPNIERS,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",217,Cultura Champniers,05.45.97.47.97,45.7149,0.205259,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",16430,https://www.cultura.com/les-magasins.html
"35135, Allée de Guerledan CHANTEPIE",CHANTEPIE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",46,Cultura Chantepie,02.99.77.02.50,48.084,-1.63292,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",35135,https://www.cultura.com/les-magasins.html
"86360, 12 Allée du Haut Poitou CHASSENEUIL",CHASSENEUIL,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",49,Cultura Chasseneuil Du Poitou,05.49.30.80.90,46.6481,0.360004,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",86360,https://www.cultura.com/les-magasins.html
"49300, L'Autre Faubourg ZAC de l'Ecuyère CHOLET",CHOLET,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",157,Cultura Cholet,02.41.71.48.20,47.0754,-0.839683,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",49300,https://www.cultura.com/les-magasins.html
"77410, Rue Victor Drouet CLAYE SOUILLY",CLAYE SOUILLY,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",52,Cultura Claye Souilly,01.60.07.80.80,48.9464,2.66937,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",77410,https://www.cultura.com/les-magasins.html
"51350, 6 rue des Laps CORMONTREUIL",CORMONTREUIL,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",235,Cultura Cormontreuil,03.26.77.69.30,49.2144,4.04502,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",51350,https://www.cultura.com/les-magasins.html
"21000, CC Toison d'Or DIJON",DIJON,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",55,Cultura Dijon,03.80.78.90.90,47.3579,5.04814,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",21000,https://www.cultura.com/les-magasins.html
"74330, 120 rue des Peupliers EPAGNY",EPAGNY,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",199,Cultura Epagny,04.50.24.69.49,45.9344,6.08169,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",74330,https://www.cultura.com/les-magasins.html
"88000, ZAC Des Terres St Jean EPINAL",EPINAL,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",58,Cultura Epinal,03.29.81.19.80,48.1907,6.47552,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",88000,https://www.cultura.com/les-magasins.html
"27930, Allée Marcel Reine Le Vieil Evreux",Le Vieil Evreux,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",253,Cultura Evreux,02.32.23.50.30,49.0127,1.17831,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",27930,https://www.cultura.com/les-magasins.html
"31150, RN 20 FENOUILLET",FENOUILLET,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",229,Cultura Fenouillet,05.34.27.04.60,43.689,1.4022,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",31150,https://www.cultura.com/les-magasins.html
"62350, Le Prieuré de St Pry FOUQUIERES LES BETHUNE",FOUQUIERES LES BETHUNE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",280,Cultura Fouquieres Les Bethune,03.66.13.01.20,50.5117,2.62268,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",62350,https://www.cultura.com/les-magasins.html
"95130, Parc d'Activités PARISIS FRANCONVILLE",FRANCONVILLE,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",61,Cultura Franconville,01.30.72.70.70,48.9891,2.20912,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",95130,https://www.cultura.com/les-magasins.html
"67118, 7 rue du Fort GEISPOLSHEIM",GEISPOLSHEIM,FR,Cultura,"{'brand': 'Cultura', 'fascia': 'Magasin Cultura', 'category': 'Retail', 'edit_date': '20250310', 'lat_lon_source': 'website'}",277,Cultura Geispolsheim,03.68.71.11.90,48.525,7.68116,"{'opening_hours': {'Mon': '09:00-20:00', 'Tue': '09:00-20:00', 'Wed': '09:00-20:00', 'Thu': '09:00-20:00', 'Fri': '09:00-20:00', 'Sat': '09:00-20:00', 'Sun': 'Closed'}}",67118,https://www.cultura.com/les-magasins.html
