addr_full,city,country,brand,extras,lat,lon,opening_hours,phone,ref,postcode,name,state,website
Calle Matamoros S/N,Veracruz,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.205119,-96.161621,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,007,91870,Chedraui Veracruz Norte,,https://www.chedraui.com.mx/encuentra-tu-tienda
Calle Morelos No. 197,Tlapa De Comonfort,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",17.548749,-98.574039,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,625,41300,Super Chedraui Tlapa De Comonfort,,https://www.chedraui.com.mx/encuentra-tu-tienda
Revolución S/N,Coatzacoalcos,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",18.147483,-94.43475,"{'opening_hours': {'Mon': '07:00-23:59', 'Tue': '07:00-23:59', 'Wed': '07:00-23:59', 'Thu': '07:00-23:59', 'Fri': '07:00-23:59', 'Sat': '07:00-23:59', 'Sun': '07:00-23:59'}}",,008,96410,Chedraui Coatzacoalcos Centro,,https://www.chedraui.com.mx/encuentra-tu-tienda
"Av. Ignacio Allende, No. 1915",Veracruz,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.193482,-96.142024,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,738,91700,Supercito Veracruz Allende,,https://www.chedraui.com.mx/encuentra-tu-tienda
Carret. A Durango S/N,Fresnillo,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",23.187247,-102.879665,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,123,99020,Chedraui Fresnillo Plateros,,https://www.chedraui.com.mx/encuentra-tu-tienda
Av. Acueducto No. 650,Gustavo A. Madero,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.501268,-99.121493,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,181,07369,Chedraui Vista Norte (Cienfuegos),,https://www.chedraui.com.mx/encuentra-tu-tienda
Manuel Cañas S/N,Iztapalapa,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.3336395,-99.04287618,"{'opening_hours': {'Mon': '07:00-22:00', 'Tue': '07:00-22:00', 'Wed': '07:00-22:00', 'Thu': '07:00-22:00', 'Fri': '07:00-22:00', 'Sat': '07:00-22:00', 'Sun': '07:00-22:00'}}",,772,09070,Supercito Iztapalapa Manuel Cañas,,https://www.chedraui.com.mx/encuentra-tu-tienda
Lateral Sur De La Vía Atlixcáyotl No. 6510,San Andrés Cholula,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",19.005786,-98.267076,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,668,72820,Chedraui Selecto Puebla Angelópolis,,https://www.chedraui.com.mx/encuentra-tu-tienda
Pedro Antonio De Los Santos No. 55,Ciudad Valles,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",21.993233,-99.021106,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,025,79000,Chedraui Ciudad Valles Cuauhtemoc,,https://www.chedraui.com.mx/encuentra-tu-tienda
34 Norte Lote 003 Manzana 100,Playa del Carmen,Mexico,Chedraui,"{'brand': 'Chedraui', 'fascia': 'Chedraui', 'category': 'Retail', 'edit_date': '20250426', 'lat_lon_source': 'google'}",20.635117,-87.068491,"{'opening_hours': {'Mon': '07:00-23:00', 'Tue': '07:00-23:00', 'Wed': '07:00-23:00', 'Thu': '07:00-23:00', 'Fri': '07:00-23:00', 'Sat': '07:00-23:00', 'Sun': '07:00-23:00'}}",,801,77720,Súper Chedraui Selecto Playa del Carmen 5 Av.,,https://www.chedraui.com.mx/encuentra-tu-tienda
