addr_full,brand,city,country,extras,lat,lon,name,phone,ref,postcode,website
285 route d'Espagne,But,TOULOUSE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.547086120524000000,1.419765892065500000,But Toulouse Portet,,264,31100,https://www.but.fr/magasins/264/But-Toulouse-Portet.html
ZAC du Mas des Abeilles / rue Michel Debre,But,NîMES,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.809983623339000000,4.370210521704200000,But Nîmes,,265,30900,https://www.but.fr/magasins/265/But-Nimes.html
158 route de toulouse,But,CASTRES,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.591566118180000000,2.205457090633000000,But Castres,,267,81100,https://www.but.fr/magasins/267/But-Castres.html
ZAC Chemin des Eaux - 1 rue Jean de la Fontaine,But,LES CLAYES SOUS BOIS,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.826473239355000000,1.969225305557300000,But Clayes ss Bois PLAISIR,,268,78340,https://www.but.fr/magasins/268/But-Clayes-ss-Bois-PLAISIR.html
RD817 - ZAC Europa,But,LANDORTHE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",43.113067684890000000,0.780134126752960000,But St Gaudens,,269,31800,https://www.but.fr/magasins/269/But-St-Gaudens.html
ZAC Descartes,But,CHAMBRY,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",49.589692272790000000,3.647093545616100000,But Laon,,270,02000,https://www.but.fr/magasins/270/But-Laon.html
Rue de la Françon,But,VOGLANS,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",45.616845255155000000,5.887852659948900000,But Voglans,,271,73420,https://www.but.fr/magasins/271/But-Voglans.html
3 Rue Gutenberg - ZA Nord,But,BIGANOS,France,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.638890946538000000,-0.956683030787870000,But Biganos,,272,33380,https://www.but.fr/magasins/272/But-Biganos.html
1 rue de l'Auge - ZAC Les Breandes,But,AUXERRE,FR,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.821000000000000000,3.555000000000000000,BUT Auxerre,,273,89000,https://www.but.fr/magasins/273/BUT-Auxerre.html
16 rue de Lisbonne - Centre Commercial DOMUS - Niveau 2,But,ROSNY SOUS BOIS,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.882479765635000000,2.468028112411500000,But Rosny-sous-Bois (DOMUS),,274,93110,https://www.but.fr/magasins/274/But-Rosny-sous-Bois-DOMUS.html
Centre Commercial le Comtal - lieudit l’Estreniol,But,ONET LE CHATEAU,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",44.394297000000000000,2.602043000000000000,BUT Rodez,,275,12850,https://www.but.fr/magasins/275/BUT-Rodez.html
Parc d'activités .,But,VAUCHELLES LES QUESNOY,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.097430000000000000,1.870080000000000000,But Abbeville,,277,80132,https://www.but.fr/magasins/277/But-Abbeville.html
Pôle Commercial Jeanne d’Arc,But,DOMMARTIN LES TOUL,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.670905000000000000,5.929186000000000000,But Toul,,278,54200,https://www.but.fr/magasins/278/But-Toul.html
Route de Nancy,But,NEUFCHATEAU,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.368336000000000000,5.701992000000000000,But Neufchateau,,279,88300,https://www.but.fr/magasins/279/But-Neufchateau.html
RN 4,But,MARMOUTIER,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",48.699567000000000000,7.374811000000000000,But Marmoutier,,280,67440,https://www.but.fr/magasins/280/But-Marmoutier.html
Espace de la Motte,But,VESOUL,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",47.637067000000000000,6.148108000000000000,But Vesoul,,281,70000,https://www.but.fr/magasins/281/But-Vesoul.html
221 rue de l'Hôtellerie,But,SECLIN,FRANCE,"{'brand': 'But', 'facia': 'But', 'category': 'Retail', 'edit_date': '2025-03-19', 'lat_lon_source': 'website'}",50.546367000000000000,3.054060000000000000,But Seclin,,282,59113,https://www.but.fr/magasins/282/But-Seclin.html
