state,storeType,city,address,name,postalCode
Veracruz,Mi Bodega Aurrera,Pueblo Viejo,Abasolo No.S/N Colonia Zona Centro CP92030 Pueblo Viejo Veracruz,Pueblo Viejo,
Veracruz,Mi Bodega Aurrera,Playa Vicente,Independencia No.724 Colonia Campo Aereo CP95600 Playa Vicente Veracruz,Playa Vicente ,
Veracruz,Mi Bodega Aurrera,La Antigua,Venustiano Carranza No.33 Colonia Centro CP91680 Cardel Veracruz,Cardel,
Veracruz,Mi Bodega Aurrera,Cerro Azul,Boulevard Ing. Abundio Juarez mendez No.1 Colonia Deportiva  CP92514 Cerro Azul Veracruz,Blvd. Juarez,
Veracruz,Mi Bodega Aurrera,Las Choapas,Antonio M Quirazco  No.272 Colonia J Mario Rosado CP96980 Las Choapas Veracruz,Las Choapas,
Veracruz,Mi Bodega Aurrera,Tantoyuca,Benito Juarez No.401 Colonia 10 de Mayo CP92100 Tantoyuca Veracruz,Tantoyuca,
Veracruz,Mi Bodega Aurrera,Pánuco,Carretera Panuco-Tempoal km. 1 No.S/N Colonia Corregidora CP93990 Panuco Veracruz,Panuco,
Veracruz,Mi Bodega Aurrera,Perote,Av.Alejandro Humboldt Norte  No.48 Colonia Centro CP91270 Perote Veracruz,Perote,
Veracruz,Mi Bodega Aurrera,Catemaco,Boulevard  Venustiano Carranza   No.7 Colonia Pictepec CP95870 Catemaco Veracruz,Catemaco,
Veracruz,Mi Bodega Aurrera,Tlalixcoyan,Av. 5 de Febrero No.Lote 4 Colonia Colonia Ursulo Galván CP95235 Tlalixcoyan Veracruz Veracruz,Piedras Negras,
Veracruz,Mi Bodega Aurrera,Lerdo De Tejada,Alvaro Obregón  No.217 219 221225 Y 227 Colonia Centro CP95280 Lerdo de Tejada. Veracruz,Lerdo De Tejada,
Veracruz,Mi Bodega Aurrera,Carlos A. Carrillo,Carreter Federal Tlacotalpan-Coamaloapan  No.30 y 32 Colonia Pancho Villa CP95331 Carlos A. Carrillo Veracruz,Carlos A. Camilo,
Veracruz,Mi Bodega Aurrera,Cuitlahuac,Av 1 esquina  calle 15 No.1316 Colonia centro  CP94915 Cuitlahuac  Veracruz,Cuitlahuac,
Veracruz,Mi Bodega Aurrera,Coatzintla,San Andres No.1 Colonia Torres CP93160 coatzintla Veracruz,Coatzintla,
Veracruz,Mi Bodega Aurrera,Ixtaczoquitlan,Poniente 7  No.2A Colonia Barrio La Santisima CP94462 Ixtaczoquitlan Veracruz,Ixtaczoquitlan,
Veracruz,Mi Bodega Aurrera,Paso Del Macho,Av Nacional  No.S/N Colonia Centro CP94970 Paso del Macho Veracruz,Paso Del Macho,
Veracruz,Mi Bodega Aurrera,Misantla,Calle Alfonso Arroyo Flores  No.S/N Colonia Centro  CP93821 Misantla  Veracruz,Misantla ,
Veracruz,Mi Bodega Aurrera,Tempoal,Av. Emiliano Zapata No.123 Colonia Ricardo Flores Magon CP92061 Tempoal de Sanchez Veracruz,Tempoal De Sanchez,
Veracruz,Mi Bodega Aurrera,Banderilla,Libertad  No.9 Colonia Salvador Díaz Miron CP91300 Banderilla Veracruz,Banderilla ,
Veracruz,Mi Bodega Aurrera,Coscomatepec,Carretera Fortin- Huatusco  No.4 Colonia Centro CP94140 Coscomatepec de Bravo  Veracruz,Coscomatepec,
Veracruz,Mi Bodega Aurrera,Xico,Vicente Guerrero  No.106 Colonia Centro CP91240 Xico Veracruz,Xico,
Veracruz,Mi Bodega Aurrera,Soledad De Doblado,Fco. Javier Mina No.104 Colonia Centro CP94240 Soledad De Doblado Veracruz,Soledad De Doblado,
Veracruz,Mi Bodega Aurrera,Santiago Tuxtla,Eneas Rivas Castellanos  No.224 Colonia El Palenque CP95833 Santiago Tuxtla Veracruz,Santiago Tuxtla,
Veracruz,Mi Bodega Aurrera,Altotonga,Calle Guadalupe Victoria No.25 Colonia Centro CP93700 Altotonga Veracruz,Altotonga,
Veracruz,Mi Bodega Aurrera,Naranjos Amatlan,Av. Justo Sierra No.61 Colonia Constitucion CP92340 Naranjos Amatlan Veracruz,Naranjos,
Veracruz,Mi Bodega Aurrera,Juan Rodriguez Clara, Boulevard Salvador Navarrete Gomez esquina C. Juan Rocriguez Clara  No.35 int Manzana  061 Lote 001 Colonia Alfonso Roman CP95697 Juan Rocriguez Clara Veracruz de Ignacio de la Llave Veracruz,Juan Rodríguez Clara,
Veracruz,Mi Bodega Aurrera,San Rafael,Carretera Federal Martínez de la torre - San Rafael  No.701-A Colonia El Pireo CP93620 San Rafael    Veracruz,San Rafael,
Veracruz,Mi Bodega Aurrera,Xico, Gonzalez Ortega    54 0 0 El Maguey C.P. 92147 Platon Sanchez,Platon Sanchez,
Veracruz,Mi Bodega Aurrera,Fortín De Las Flores,Boulevard  Cordoba - Fortin No.333 Colonia Centro CP94470 Fortin de las flores Veracruz,Fortin De Las Flores,
Veracruz,Mi Bodega Aurrera,Ignacio de la llave Ver,Carretera Mexico Tuxpan Callejon de los Toros 3 0 0 Centro Tihuatlan C.P 92930 Ignacio de la llave Ver Veracruz,Tihuatlan Sur,
Veracruz,Mi Bodega Aurrera,Atoyac,Independencia y Plan de San Ricardo 10 Av Principal  General Miguel Aleman C.P. 94964 Atoyac Veracruz,General Miguel Atoyac,
